"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."
Bronx,Former English Language Learners,2012,Percent,0.67801,36005
Bronx,English Language Proficient,2012,Percent,0.54112,36005
Brooklyn,English Language Proficient,2012,Percent,0.37595,36047
Brooklyn,Former English Language Learners,2012,Percent,0.78855,36047
Brooklyn,English Language Learners,2012,Percent,0.62302,36047
Manhattan,English Language Proficient,2012,Percent,0.32787,36061
Manhattan,Former English Language Learners,2012,Percent,0.73301,36061
Manhattan,English Language Learners,2012,Percent,0.66469,36061
Queens,English Language Proficient,2012,Percent,0.41641,36081
Queens,Former English Language Learners,2012,Percent,0.75992,36081
Queens,English Language Learners,2012,Percent,0.6647,36081
Staten Island,English Language Proficient,2012,Percent,0.33333,36085
Staten Island,Former English Language Learners,2012,Percent,0.71429,36085
Staten Island,English Language Learners,2012,Percent,0.73428,36085
Lower East Side,English Language Learners,2012,Percent,0.38983,SD1
Lower East Side,Former English Language Learners,2012,Percent,0.86957,SD1
Lower East Side,English Language Proficient,2012,Percent,0.59267,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2012,Percent,0.34324,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2012,Percent,0.74886,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2012,Percent,0.67872,SD2
Upper West Side,English Language Learners,2012,Percent,0.26506,SD3
Upper West Side,Former English Language Learners,2012,Percent,0.54545,SD3
Upper West Side,English Language Proficient,2012,Percent,0.66906,SD3
East Harlem,English Language Learners,2012,Percent,0.15385,SD4
East Harlem,Former English Language Learners,2012,Percent,0.56,SD4
East Harlem,English Language Proficient,2012,Percent,0.71597,SD4
Central Harlem,English Language Learners,2012,Percent,0.19178,SD5
Central Harlem,Former English Language Learners,2012,Percent,0.46154,SD5
Central Harlem,English Language Proficient,2012,Percent,0.56794,SD5
Washington Heights,English Language Learners,2012,Percent,0.33227,SD6
Washington Heights,Former English Language Learners,2012,Percent,0.84091,SD6
Washington Heights,English Language Proficient,2012,Percent,0.64712,SD6
Mott Haven,English Language Learners,2012,Percent,0.264,SD7
Mott Haven,Former English Language Learners,2012,Percent,0.64286,SD7
Mott Haven,English Language Proficient,2012,Percent,0.52008,SD7
"Hunts Point, Port Morris",English Language Learners,2012,Percent,0.14783,SD8
"Hunts Point, Port Morris",Former English Language Learners,2012,Percent,0.5,SD8
"Hunts Point, Port Morris",English Language Proficient,2012,Percent,0.42542,SD8
"East Tremont, Morris Heights",English Language Learners,2012,Percent,0.37197,SD9
"East Tremont, Morris Heights",Former English Language Learners,2012,Percent,0.75472,SD9
"East Tremont, Morris Heights",English Language Proficient,2012,Percent,0.5908,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2012,Percent,0.28455,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2012,Percent,0.74576,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2012,Percent,0.62334,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2012,Percent,0.25217,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2012,Percent,0.72857,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2012,Percent,0.56933,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2012,Percent,0.3099,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2012,Percent,0.58974,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2012,Percent,0.39716,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2012,Percent,0.59184,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2012,Percent,0.93333,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2012,Percent,0.74058,SD13
"Williamsburg, Greenpoint",English Language Learners,2012,Percent,0.30534,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2012,Percent,0.68,SD14
"Williamsburg, Greenpoint",English Language Proficient,2012,Percent,0.6679,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2012,Percent,0.26667,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2012,Percent,0.84615,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2012,Percent,0.54318,SD15
Bedford Stuyvesant,English Language Learners,2012,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2012,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2012,Percent,0.36161,SD16
Crown Heights,English Language Learners,2012,Percent,0.40441,SD17
Crown Heights,Former English Language Learners,2012,Percent,0.7619,SD17
Crown Heights,English Language Proficient,2012,Percent,0.6007,SD17
"East Flatbush, Canarsie",English Language Learners,2012,Percent,0.43421,SD18
"East Flatbush, Canarsie",Former English Language Learners,2012,Percent,0.89474,SD18
"East Flatbush, Canarsie",English Language Proficient,2012,Percent,0.51554,SD18
East New York,English Language Learners,2012,Percent,0.26923,SD19
East New York,Former English Language Learners,2012,Percent,0.76667,SD19
East New York,English Language Proficient,2012,Percent,0.56091,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2012,Percent,0.41564,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2012,Percent,0.82906,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2012,Percent,0.67308,SD20
"Gravesend, Coney Island",English Language Learners,2012,Percent,0.41149,SD21
"Gravesend, Coney Island",Former English Language Learners,2012,Percent,0.83036,SD21
"Gravesend, Coney Island",English Language Proficient,2012,Percent,0.66396,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2012,Percent,0.32129,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2012,Percent,0.67105,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2012,Percent,0.71546,SD22
"Brownsville, Ocean Hill",English Language Learners,2012,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2012,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2012,Percent,0.32045,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2012,Percent,0.41319,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2012,Percent,0.71818,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2012,Percent,0.61974,SD24
"Flushing, Whitestone",English Language Learners,2012,Percent,0.41132,SD25
"Flushing, Whitestone",Former English Language Learners,2012,Percent,0.78788,SD25
"Flushing, Whitestone",English Language Proficient,2012,Percent,0.63056,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2012,Percent,0.5189,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2012,Percent,0.78992,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2012,Percent,0.79599,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2012,Percent,0.36828,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2012,Percent,0.72,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2012,Percent,0.53775,SD27
"Jamaica, Forest Hills",English Language Learners,2012,Percent,0.39482,SD28
"Jamaica, Forest Hills",Former English Language Learners,2012,Percent,0.84884,SD28
"Jamaica, Forest Hills",English Language Proficient,2012,Percent,0.73003,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2012,Percent,0.2,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2012,Percent,1,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2012,Percent,0.54764,SD29
"Long Island City, Astoria",English Language Learners,2012,Percent,0.42553,SD30
"Long Island City, Astoria",Former English Language Learners,2012,Percent,0.65909,SD30
"Long Island City, Astoria",English Language Proficient,2012,Percent,0.67492,SD30
Staten Island,English Language Learners,2012,Percent,0.33333,SD31
Staten Island,Former English Language Learners,2012,Percent,0.71429,SD31
Staten Island,English Language Proficient,2012,Percent,0.73428,SD31
Bushwick,English Language Learners,2012,Percent,0.23932,SD32
Bushwick,Former English Language Learners,2012,Percent,0.77273,SD32
Bushwick,English Language Proficient,2012,Percent,0.45148,SD32
New York City,English Language Learners,2011,Percent,0.39384,3651000
New York City,Former English Language Learners,2011,Percent,0.75673,3651000
New York City,English Language Proficient,2011,Percent,0.6344,3651000
Bronx,English Language Learners,2011,Percent,0.32287,36005
Bronx,Former English Language Learners,2011,Percent,0.73391,36005
Bronx,English Language Proficient,2011,Percent,0.55368,36005
Brooklyn,English Language Proficient,2011,Percent,0.42881,36047
Brooklyn,Former English Language Learners,2011,Percent,0.7561,36047
Brooklyn,English Language Learners,2011,Percent,0.61146,36047
Manhattan,English Language Proficient,2011,Percent,0.36438,36061
Manhattan,Former English Language Learners,2011,Percent,0.73656,36061
Manhattan,English Language Learners,2011,Percent,0.66054,36061
Queens,English Language Proficient,2011,Percent,0.44566,36081
Queens,Former English Language Learners,2011,Percent,0.78871,36081
Queens,English Language Learners,2011,Percent,0.67803,36081
Staten Island,English Language Proficient,2011,Percent,0.32609,36085
Staten Island,Former English Language Learners,2011,Percent,0.77193,36085
Staten Island,English Language Learners,2011,Percent,0.73341,36085
Lower East Side,English Language Learners,2011,Percent,0.48344,SD1
Lower East Side,Former English Language Learners,2011,Percent,0.68182,SD1
Lower East Side,English Language Proficient,2011,Percent,0.58036,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2011,Percent,0.37056,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2011,Percent,0.76555,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2011,Percent,0.67014,SD2
Upper West Side,English Language Learners,2011,Percent,0.31349,SD3
Upper West Side,Former English Language Learners,2011,Percent,0.58333,SD3
Upper West Side,English Language Proficient,2011,Percent,0.65959,SD3
East Harlem,English Language Learners,2011,Percent,0.33333,SD4
East Harlem,Former English Language Learners,2011,Percent,0.64,SD4
East Harlem,English Language Proficient,2011,Percent,0.6576,SD4
Central Harlem,English Language Learners,2011,Percent,0.23404,SD5
Central Harlem,Former English Language Learners,2011,Percent,0.66667,SD5
Central Harlem,English Language Proficient,2011,Percent,0.63451,SD5
Washington Heights,English Language Learners,2011,Percent,0.34932,SD6
Washington Heights,Former English Language Learners,2011,Percent,0.79412,SD6
Washington Heights,English Language Proficient,2011,Percent,0.69,SD6
Mott Haven,English Language Learners,2011,Percent,0.26697,SD7
Mott Haven,Former English Language Learners,2011,Percent,0.71642,SD7
Mott Haven,English Language Proficient,2011,Percent,0.52344,SD7
"Hunts Point, Port Morris",English Language Learners,2011,Percent,0.19549,SD8
"Hunts Point, Port Morris",Former English Language Learners,2011,Percent,0.57353,SD8
"Hunts Point, Port Morris",English Language Proficient,2011,Percent,0.46229,SD8
"East Tremont, Morris Heights",English Language Learners,2011,Percent,0.38835,SD9
"East Tremont, Morris Heights",Former English Language Learners,2011,Percent,0.80247,SD9
"East Tremont, Morris Heights",English Language Proficient,2011,Percent,0.58918,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2011,Percent,0.34761,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2011,Percent,0.72794,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2011,Percent,0.64535,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2011,Percent,0.29688,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2011,Percent,0.8871,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2011,Percent,0.57623,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2011,Percent,0.3452,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2011,Percent,0.69231,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2011,Percent,0.39905,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2011,Percent,0.60345,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2011,Percent,0.85,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2011,Percent,0.73938,SD13
"Williamsburg, Greenpoint",English Language Learners,2011,Percent,0.38636,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2011,Percent,0.78788,SD14
"Williamsburg, Greenpoint",English Language Proficient,2011,Percent,0.64444,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2011,Percent,0.29167,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2011,Percent,0.45455,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2011,Percent,0.50353,SD15
Bedford Stuyvesant,English Language Learners,2011,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2011,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2011,Percent,0.42584,SD16
Crown Heights,English Language Learners,2011,Percent,0.35979,SD17
Crown Heights,Former English Language Learners,2011,Percent,0.8125,SD17
Crown Heights,English Language Proficient,2011,Percent,0.56376,SD17
"East Flatbush, Canarsie",English Language Learners,2011,Percent,0.55405,SD18
"East Flatbush, Canarsie",Former English Language Learners,2011,Percent,0.70833,SD18
"East Flatbush, Canarsie",English Language Proficient,2011,Percent,0.41882,SD18
East New York,English Language Learners,2011,Percent,0.32364,SD19
East New York,Former English Language Learners,2011,Percent,0.80769,SD19
East New York,English Language Proficient,2011,Percent,0.57663,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2011,Percent,0.50676,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2011,Percent,0.85185,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2011,Percent,0.66069,SD20
"Gravesend, Coney Island",English Language Learners,2011,Percent,0.36691,SD21
"Gravesend, Coney Island",Former English Language Learners,2011,Percent,0.73585,SD21
"Gravesend, Coney Island",English Language Proficient,2011,Percent,0.62863,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2011,Percent,0.47716,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2011,Percent,0.69091,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2011,Percent,0.74314,SD22
"Brownsville, Ocean Hill",English Language Learners,2011,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2011,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2011,Percent,0.3863,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2011,Percent,0.419,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2011,Percent,0.72143,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2011,Percent,0.65426,SD24
"Flushing, Whitestone",English Language Learners,2011,Percent,0.44732,SD25
"Flushing, Whitestone",Former English Language Learners,2011,Percent,0.77778,SD25
"Flushing, Whitestone",English Language Proficient,2011,Percent,0.63948,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2011,Percent,0.52215,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2011,Percent,0.88776,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2011,Percent,0.78651,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2011,Percent,0.39535,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2011,Percent,0.68,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2011,Percent,0.56594,SD27
"Jamaica, Forest Hills",English Language Learners,2011,Percent,0.46403,SD28
"Jamaica, Forest Hills",Former English Language Learners,2011,Percent,0.80519,SD28
"Jamaica, Forest Hills",English Language Proficient,2011,Percent,0.7282,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2011,Percent,0,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2011,Percent,0,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2011,Percent,0.57927,SD29
"Long Island City, Astoria",English Language Learners,2011,Percent,0.46741,SD30
"Long Island City, Astoria",Former English Language Learners,2011,Percent,0.83178,SD30
"Long Island City, Astoria",English Language Proficient,2011,Percent,0.6629,SD30
Staten Island,English Language Learners,2011,Percent,0.32609,SD31
Staten Island,Former English Language Learners,2011,Percent,0.77193,SD31
Staten Island,English Language Proficient,2011,Percent,0.73341,SD31
Bushwick,English Language Learners,2011,Percent,0.39844,SD32
Bushwick,Former English Language Learners,2011,Percent,0.63158,SD32
Bushwick,English Language Proficient,2011,Percent,0.48548,SD32
New York City,English Language Learners,2010,Percent,0.41464,3651000
New York City,Former English Language Learners,2010,Percent,0.77605,3651000
New York City,English Language Proficient,2010,Percent,0.6324,3651000
Bronx,English Language Learners,2010,Percent,0.36911,36005
Bronx,Former English Language Learners,2010,Percent,0.75497,36005
Bronx,English Language Proficient,2010,Percent,0.57142,36005
Brooklyn,English Language Proficient,2010,Percent,0.41495,36047
Brooklyn,Former English Language Learners,2010,Percent,0.79217,36047
Brooklyn,English Language Learners,2010,Percent,0.60374,36047
Manhattan,English Language Proficient,2010,Percent,0.41325,36061
Manhattan,Former English Language Learners,2010,Percent,0.78593,36061
Manhattan,English Language Learners,2010,Percent,0.66164,36061
Queens,English Language Proficient,2010,Percent,0.44958,36081
Queens,Former English Language Learners,2010,Percent,0.76778,36081
Queens,English Language Learners,2010,Percent,0.66315,36081
Staten Island,English Language Proficient,2010,Percent,0.48366,36085
Staten Island,Former English Language Learners,2010,Percent,0.82051,36085
Staten Island,English Language Learners,2010,Percent,0.73453,36085
Lower East Side,English Language Learners,2010,Percent,0.50233,SD1
Lower East Side,Former English Language Learners,2010,Percent,0.71429,SD1
Lower East Side,English Language Proficient,2010,Percent,0.63757,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2010,Percent,0.40439,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2010,Percent,0.78109,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2010,Percent,0.66969,SD2
Upper West Side,English Language Learners,2010,Percent,0.36364,SD3
Upper West Side,Former English Language Learners,2010,Percent,0.84375,SD3
Upper West Side,English Language Proficient,2010,Percent,0.68941,SD3
East Harlem,English Language Learners,2010,Percent,0.37255,SD4
East Harlem,Former English Language Learners,2010,Percent,0.85714,SD4
East Harlem,English Language Proficient,2010,Percent,0.72954,SD4
Central Harlem,English Language Learners,2010,Percent,0.2069,SD5
Central Harlem,Former English Language Learners,2010,Percent,0.55556,SD5
Central Harlem,English Language Proficient,2010,Percent,0.62896,SD5
Washington Heights,English Language Learners,2010,Percent,0.51866,SD6
Washington Heights,Former English Language Learners,2010,Percent,0.84906,SD6
Washington Heights,English Language Proficient,2010,Percent,0.70185,SD6
Mott Haven,English Language Learners,2010,Percent,0.2963,SD7
Mott Haven,Former English Language Learners,2010,Percent,0.64706,SD7
Mott Haven,English Language Proficient,2010,Percent,0.54794,SD7
"Hunts Point, Port Morris",English Language Learners,2010,Percent,0.22568,SD8
"Hunts Point, Port Morris",Former English Language Learners,2010,Percent,0.61404,SD8
"Hunts Point, Port Morris",English Language Proficient,2010,Percent,0.45415,SD8
"East Tremont, Morris Heights",English Language Learners,2010,Percent,0.44674,SD9
"East Tremont, Morris Heights",Former English Language Learners,2010,Percent,0.90323,SD9
"East Tremont, Morris Heights",English Language Proficient,2010,Percent,0.63906,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2010,Percent,0.3865,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2010,Percent,0.79787,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2010,Percent,0.6556,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2010,Percent,0.41869,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2010,Percent,0.84746,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2010,Percent,0.60378,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2010,Percent,0.42857,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2010,Percent,0.69231,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2010,Percent,0.50579,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2010,Percent,0.66964,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2010,Percent,0.86364,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2010,Percent,0.74234,SD13
"Williamsburg, Greenpoint",English Language Learners,2010,Percent,0.42017,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2010,Percent,0.75,SD14
"Williamsburg, Greenpoint",English Language Proficient,2010,Percent,0.67303,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2010,Percent,0.26154,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2010,Percent,0.28571,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2010,Percent,0.51481,SD15
Bedford Stuyvesant,English Language Learners,2010,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2010,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2010,Percent,0.41186,SD16
Crown Heights,English Language Learners,2010,Percent,0.34932,SD17
Crown Heights,Former English Language Learners,2010,Percent,0.66667,SD17
Crown Heights,English Language Proficient,2010,Percent,0.6,SD17
"East Flatbush, Canarsie",English Language Learners,2010,Percent,0.54464,SD18
"East Flatbush, Canarsie",Former English Language Learners,2010,Percent,0.58333,SD18
"East Flatbush, Canarsie",English Language Proficient,2010,Percent,0.32347,SD18
East New York,English Language Learners,2010,Percent,0.31034,SD19
East New York,Former English Language Learners,2010,Percent,0.78571,SD19
East New York,English Language Proficient,2010,Percent,0.51167,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2010,Percent,0.45938,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2010,Percent,0.85333,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2010,Percent,0.64554,SD20
"Gravesend, Coney Island",English Language Learners,2010,Percent,0.38968,SD21
"Gravesend, Coney Island",Former English Language Learners,2010,Percent,0.8,SD21
"Gravesend, Coney Island",English Language Proficient,2010,Percent,0.6222,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2010,Percent,0.45918,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2010,Percent,0.875,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2010,Percent,0.74758,SD22
"Brownsville, Ocean Hill",English Language Learners,2010,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2010,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2010,Percent,0.41954,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2010,Percent,0.41297,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2010,Percent,0.71287,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2010,Percent,0.62216,SD24
"Flushing, Whitestone",English Language Learners,2010,Percent,0.48963,SD25
"Flushing, Whitestone",Former English Language Learners,2010,Percent,0.76923,SD25
"Flushing, Whitestone",English Language Proficient,2010,Percent,0.60731,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2010,Percent,0.49245,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2010,Percent,0.79661,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2010,Percent,0.76927,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2010,Percent,0.42478,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2010,Percent,0.80702,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2010,Percent,0.54556,SD27
"Jamaica, Forest Hills",English Language Learners,2010,Percent,0.54307,SD28
"Jamaica, Forest Hills",Former English Language Learners,2010,Percent,0.85246,SD28
"Jamaica, Forest Hills",English Language Proficient,2010,Percent,0.75518,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2010,Percent,0.26667,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2010,Percent,0.83333,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2010,Percent,0.61364,SD29
"Long Island City, Astoria",English Language Learners,2010,Percent,0.44061,SD30
"Long Island City, Astoria",Former English Language Learners,2010,Percent,0.6988,SD30
"Long Island City, Astoria",English Language Proficient,2010,Percent,0.66457,SD30
Staten Island,English Language Learners,2010,Percent,0.48684,SD31
Staten Island,Former English Language Learners,2010,Percent,0.82051,SD31
Staten Island,English Language Proficient,2010,Percent,0.7397,SD31
Bushwick,English Language Learners,2010,Percent,0.46316,SD32
Bushwick,Former English Language Learners,2010,Percent,0.77778,SD32
Bushwick,English Language Proficient,2010,Percent,0.52896,SD32
New York City,English Language Learners,2009,Percent,0.3966,3651000
New York City,Former English Language Learners,2009,Percent,0.77076,3651000
New York City,English Language Proficient,2009,Percent,0.61079,3651000
Bronx,English Language Learners,2009,Percent,0.35773,36005
Bronx,Former English Language Learners,2009,Percent,0.70775,36005
Bronx,English Language Proficient,2009,Percent,0.56629,36005
Brooklyn,English Language Proficient,2009,Percent,0.38919,36047
Brooklyn,Former English Language Learners,2009,Percent,0.7847,36047
Brooklyn,English Language Learners,2009,Percent,0.58012,36047
Manhattan,English Language Proficient,2009,Percent,0.42693,36061
Manhattan,Former English Language Learners,2009,Percent,0.73899,36061
Manhattan,English Language Learners,2009,Percent,0.6438,36061
Queens,English Language Proficient,2009,Percent,0.41843,36081
Queens,Former English Language Learners,2009,Percent,0.82174,36081
Queens,English Language Learners,2009,Percent,0.6308,36081
Staten Island,English Language Proficient,2009,Percent,0.31551,36085
Staten Island,Former English Language Learners,2009,Percent,0.78049,36085
Staten Island,English Language Learners,2009,Percent,0.71054,36085
Lower East Side,English Language Learners,2009,Percent,0.45665,SD1
Lower East Side,Former English Language Learners,2009,Percent,0.92308,SD1
Lower East Side,English Language Proficient,2009,Percent,0.61571,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2009,Percent,0.41926,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2009,Percent,0.71,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2009,Percent,0.64932,SD2
Upper West Side,English Language Learners,2009,Percent,0.41549,SD3
Upper West Side,Former English Language Learners,2009,Percent,0.775,SD3
Upper West Side,English Language Proficient,2009,Percent,0.67956,SD3
East Harlem,English Language Learners,2009,Percent,0.43396,SD4
East Harlem,Former English Language Learners,2009,Percent,0.68421,SD4
East Harlem,English Language Proficient,2009,Percent,0.68027,SD4
Central Harlem,English Language Learners,2009,Percent,0,SD5
Central Harlem,Former English Language Learners,2009,Percent,0,SD5
Central Harlem,English Language Proficient,2009,Percent,0.64671,SD5
Washington Heights,English Language Learners,2009,Percent,0.53846,SD6
Washington Heights,Former English Language Learners,2009,Percent,0.86842,SD6
Washington Heights,English Language Proficient,2009,Percent,0.74743,SD6
Mott Haven,English Language Learners,2009,Percent,0.23188,SD7
Mott Haven,Former English Language Learners,2009,Percent,0.68182,SD7
Mott Haven,English Language Proficient,2009,Percent,0.5316,SD7
"Hunts Point, Port Morris",English Language Learners,2009,Percent,0.27609,SD8
