"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Queens Village,Asian,2012,Percent,0.14902,413
Fresh Meadows/Briarwood,Asian,2012,Percent,0.32718,408
Elmhurst/Corona,Asian,2012,Percent,0.33769,404
Rego Park/Forest Hills,Asian,2012,Percent,0.26215,406
Sunnyside/Woodside,Asian,2012,Percent,0.35607,402
Ridgewood/Glendale,Asian,2012,Percent,0.0714,405
Woodhaven,Asian,2012,Percent,0.24409,409
Jamaica/St. Albans,Asian,2012,Percent,0.1061,412
Howard Beach,Asian,2012,Percent,0.19107,410
The Rockaways,Asian,2012,Percent,0.02048,414
Bronx,Asian,2012,Percent,0.03493,36005
Brooklyn,Asian,2012,Percent,0.10596,36047
Manhattan,Asian,2012,Percent,0.11141,36061
Queens,Asian,2012,Percent,0.23293,36081
Staten Island,Asian,2012,Percent,0.07638,36085
New York City,Asian,2012,Percent,0.12793,3651000
Riverdale,Asian,2013,Number,5289,208
Williamsbridge,Asian,2013,Number,2880,212
Throgs Neck,Asian,2013,Number,3222,210
Pelham Parkway,Asian,2013,Number,10076,211
Morrisania,Asian,2013,Number,630.15062,203
East Tremont,Asian,2013,Number,657.84938,206
Bedford Park,Asian,2013,Number,7835,207
University Heights,Asian,2013,Number,2005,205
Concourse/Highbridge,Asian,2013,Number,2512,204
Unionport/Soundview,Asian,2013,Number,13197,209
Mott Haven,Asian,2013,Number,727.55592,201
Hunts Point,Asian,2013,Number,415.44408,202
Washington Heights,Asian,2013,Number,5145,112
Manhattanville,Asian,2013,Number,9705,109
Central Harlem,Asian,2013,Number,4267,110
East Harlem,Asian,2013,Number,8831,111
Upper East Side,Asian,2013,Number,18178,108
Upper West Side,Asian,2013,Number,16591,107
Chelsea/Clinton,Asian,2013,Number,13090.39808,104
Midtown Business District,Asian,2013,Number,6551.60192,105
Murray Hill/Stuyvesant,Asian,2013,Number,20801,106
Lower East Side,Asian,2013,Number,54720,103
Battery Park/Tribeca,Asian,2013,Number,9416.42731,101
Greenwich Village,Asian,2013,Number,13900.57269,102
Tottenville,Asian,2013,Number,6691,503
South Beach,Asian,2013,Number,17209,502
St. George,Asian,2013,Number,12579,501
Williamsburg/Greenpoint,Asian,2013,Number,8128,301
Bushwick,Asian,2013,Number,5588,304
Bedford Stuyvesant,Asian,2013,Number,3916,303
Fort Greene/Brooklyn Hts,Asian,2013,Number,9255,302
Park Slope,Asian,2013,Number,7154,306
Crown Heights North,Asian,2013,Number,4304,308
Brownsville,Asian,2013,Number,1015,316
East New York,Asian,2013,Number,5827,305
Canarsie,Asian,2013,Number,7328,318
East Flatbush,Asian,2013,Number,1718,317
Crown Heights South,Asian,2013,Number,2048,309
Sunset Park,Asian,2013,Number,48384,307
Bay Ridge,Asian,2013,Number,29966,310
Borough Park,Asian,2013,Number,23336,312
Flatbush/Midwood,Asian,2013,Number,14419,314
Sheepshead Bay,Asian,2013,Number,23491,315
Bensonhurst,Asian,2013,Number,64358,311
Coney Island,Asian,2013,Number,15111,313
Astoria,Asian,2013,Number,23197,401
Jackson Heights,Asian,2013,Number,29640,403
Flushing,Asian,2013,Number,122123,407
Bayside,Asian,2013,Number,48548,411
Queens Village,Asian,2013,Number,31414,413
Fresh Meadows/Briarwood,Asian,2013,Number,50049,408
Elmhurst/Corona,Asian,2013,Number,48056,404
Rego Park/Forest Hills,Asian,2013,Number,28365,406
Sunnyside/Woodside,Asian,2013,Number,46811,402
Ridgewood/Glendale,Asian,2013,Number,13174,405
Woodhaven,Asian,2013,Number,37164,409
Jamaica/St. Albans,Asian,2013,Number,23866,412
Howard Beach,Asian,2013,Number,25094,410
The Rockaways,Asian,2013,Number,3202,414
Bronx,Asian,2013,Number,49447,36005
Brooklyn,Asian,2013,Number,275346,36047
Manhattan,Asian,2013,Number,181197,36061
Queens,Asian,2013,Number,530703,36081
Staten Island,Asian,2013,Number,36479,36085
New York City,Asian,2013,Number,1073172,3651000
Riverdale,Asian,2013,Percent,0.04943,208
Williamsbridge,Asian,2013,Percent,0.02006,212
Throgs Neck,Asian,2013,Percent,0.02677,210
Pelham Parkway,Asian,2013,Percent,0.07876,211
Morrisania,Asian,2013,Percent,0.00803,203
East Tremont,Asian,2013,Percent,0.00803,206
Bedford Park,Asian,2013,Percent,0.06289,207
University Heights,Asian,2013,Percent,0.01502,205
Concourse/Highbridge,Asian,2013,Percent,0.01801,204
Unionport/Soundview,Asian,2013,Percent,0.07152,209
Mott Haven,Asian,2013,Percent,0.00733,201
Hunts Point,Asian,2013,Percent,0.00733,202
Washington Heights,Asian,2013,Percent,0.02435,112
Manhattanville,Asian,2013,Percent,0.07429,109
Central Harlem,Asian,2013,Percent,0.03347,110
East Harlem,Asian,2013,Percent,0.07407,111
Upper East Side,Asian,2013,Percent,0.08415,108
Upper West Side,Asian,2013,Percent,0.08453,107
Chelsea/Clinton,Asian,2013,Percent,0.13747,104
Midtown Business District,Asian,2013,Percent,0.13747,105
Murray Hill/Stuyvesant,Asian,2013,Percent,0.14177,106
Lower East Side,Asian,2013,Percent,0.33021,103
Battery Park/Tribeca,Asian,2013,Percent,0.15648,101
Greenwich Village,Asian,2013,Percent,0.15648,102
Tottenville,Asian,2013,Percent,0.04092,503
South Beach,Asian,2013,Percent,0.12959,502
St. George,Asian,2013,Percent,0.07232,501
Williamsburg/Greenpoint,Asian,2013,Percent,0.05536,301
Bushwick,Asian,2013,Percent,0.04057,304
Bedford Stuyvesant,Asian,2013,Percent,0.02883,303
Fort Greene/Brooklyn Hts,Asian,2013,Percent,0.0734,302
Park Slope,Asian,2013,Percent,0.0631,306
Crown Heights North,Asian,2013,Percent,0.03492,308
Brownsville,Asian,2013,Percent,0.00846,316
East New York,Asian,2013,Percent,0.03829,305
Canarsie,Asian,2013,Percent,0.03567,318
East Flatbush,Asian,2013,Percent,0.01245,317
Crown Heights South,Asian,2013,Percent,0.01863,309
Sunset Park,Asian,2013,Percent,0.32066,307
Bay Ridge,Asian,2013,Percent,0.22909,310
Borough Park,Asian,2013,Percent,0.14303,312
Flatbush/Midwood,Asian,2013,Percent,0.09219,314
Sheepshead Bay,Asian,2013,Percent,0.16012,315
Bensonhurst,Asian,2013,Percent,0.36101,311
Coney Island,Asian,2013,Percent,0.14391,313
Astoria,Asian,2013,Percent,0.13682,401
Jackson Heights,Asian,2013,Percent,0.16382,403
Flushing,Asian,2013,Percent,0.49045,407
Bayside,Asian,2013,Percent,0.40391,411
Queens Village,Asian,2013,Percent,0.15595,413
Fresh Meadows/Briarwood,Asian,2013,Percent,0.32416,408
Elmhurst/Corona,Asian,2013,Percent,0.33783,404
Rego Park/Forest Hills,Asian,2013,Percent,0.25264,406
Sunnyside/Woodside,Asian,2013,Percent,0.35609,402
Ridgewood/Glendale,Asian,2013,Percent,0.07806,405
Woodhaven,Asian,2013,Percent,0.24913,409
Jamaica/St. Albans,Asian,2013,Percent,0.10435,412
Howard Beach,Asian,2013,Percent,0.1898,410
The Rockaways,Asian,2013,Percent,0.02759,414
Bronx,Asian,2013,Percent,0.03539,36005
Brooklyn,Asian,2013,Percent,0.10841,36047
Manhattan,Asian,2013,Percent,0.11288,36061
Queens,Asian,2013,Percent,0.2352,36081
Staten Island,Asian,2013,Percent,0.07758,36085
New York City,Asian,2013,Percent,0.12978,3651000
Riverdale,Asian,2014,Number,5487,208
Williamsbridge,Asian,2014,Number,2957,212
Throgs Neck,Asian,2014,Number,3244,210
Pelham Parkway,Asian,2014,Number,10462,211
Morrisania,Asian,2014,Number,632.59686,203
East Tremont,Asian,2014,Number,660.40314,206
Bedford Park,Asian,2014,Number,8570,207
University Heights,Asian,2014,Number,1771,205
Concourse/Highbridge,Asian,2014,Number,2202,204
Unionport/Soundview,Asian,2014,Number,12926,209
Mott Haven,Asian,2014,Number,765.74783,201
Hunts Point,Asian,2014,Number,437.25217,202
Washington Heights,Asian,2014,Number,5326,112
Manhattanville,Asian,2014,Number,10246,109
Central Harlem,Asian,2014,Number,4442,110
East Harlem,Asian,2014,Number,8898,111
Upper East Side,Asian,2014,Number,19966,108
Upper West Side,Asian,2014,Number,16452,107
Chelsea/Clinton,Asian,2014,Number,14419.29808,104
Midtown Business District,Asian,2014,Number,7216.70192,105
Murray Hill/Stuyvesant,Asian,2014,Number,21461,106
Lower East Side,Asian,2014,Number,53054,103
Battery Park/Tribeca,Asian,2014,Number,9248.02442,101
Greenwich Village,Asian,2014,Number,13651.97558,102
Tottenville,Asian,2014,Number,7253,503
South Beach,Asian,2014,Number,16958,502
St. George,Asian,2014,Number,12900,501
Williamsburg/Greenpoint,Asian,2014,Number,8992,301
Bushwick,Asian,2014,Number,6028,304
Bedford Stuyvesant,Asian,2014,Number,3449,303
Fort Greene/Brooklyn Hts,Asian,2014,Number,10592,302
Park Slope,Asian,2014,Number,7213,306
Crown Heights North,Asian,2014,Number,4378,308
Brownsville,Asian,2014,Number,1354,316
East New York,Asian,2014,Number,5242,305
Canarsie,Asian,2014,Number,8545,318
East Flatbush,Asian,2014,Number,1750,317
Crown Heights South,Asian,2014,Number,2034,309
Sunset Park,Asian,2014,Number,47696,307
Bay Ridge,Asian,2014,Number,30578,310
Borough Park,Asian,2014,Number,23571,312
Flatbush/Midwood,Asian,2014,Number,15927,314
Sheepshead Bay,Asian,2014,Number,23720,315
Bensonhurst,Asian,2014,Number,69189,311
Coney Island,Asian,2014,Number,15106,313
Astoria,Asian,2014,Number,23845,401
Jackson Heights,Asian,2014,Number,30619,403
Flushing,Asian,2014,Number,125738,407
Bayside,Asian,2014,Number,50203,411
Queens Village,Asian,2014,Number,29969,413
Fresh Meadows/Briarwood,Asian,2014,Number,51748,408
Elmhurst/Corona,Asian,2014,Number,47911,404
Rego Park/Forest Hills,Asian,2014,Number,29500,406
Sunnyside/Woodside,Asian,2014,Number,47882,402
Ridgewood/Glendale,Asian,2014,Number,13125,405
Woodhaven,Asian,2014,Number,38513,409
Jamaica/St. Albans,Asian,2014,Number,25485,412
Howard Beach,Asian,2014,Number,26155,410
The Rockaways,Asian,2014,Number,3660,414
Bronx,Asian,2014,Number,50115,36005
Brooklyn,Asian,2014,Number,285364,36047
Manhattan,Asian,2014,Number,184381,36061
Queens,Asian,2014,Number,544353,36081
Staten Island,Asian,2014,Number,37111,36085
New York City,Asian,2014,Number,1101324,3651000
Riverdale,Asian,2014,Percent,0.05058,208
Williamsbridge,Asian,2014,Percent,0.02088,212
Throgs Neck,Asian,2014,Percent,0.0262,210
Pelham Parkway,Asian,2014,Percent,0.0805,211
Morrisania,Asian,2014,Percent,0.00776,203
East Tremont,Asian,2014,Percent,0.00776,206
Bedford Park,Asian,2014,Percent,0.06842,207
University Heights,Asian,2014,Percent,0.01337,205
Concourse/Highbridge,Asian,2014,Percent,0.01557,204
Unionport/Soundview,Asian,2014,Percent,0.06935,209
Mott Haven,Asian,2014,Percent,0.00764,201
Hunts Point,Asian,2014,Percent,0.00764,202
Washington Heights,Asian,2014,Percent,0.02484,112
Manhattanville,Asian,2014,Percent,0.07866,109
Central Harlem,Asian,2014,Percent,0.03418,110
East Harlem,Asian,2014,Percent,0.07378,111
Upper East Side,Asian,2014,Percent,0.09101,108
Upper West Side,Asian,2014,Percent,0.08377,107
Chelsea/Clinton,Asian,2014,Percent,0.14788,104
Midtown Business District,Asian,2014,Percent,0.14788,105
Murray Hill/Stuyvesant,Asian,2014,Percent,0.14733,106
Lower East Side,Asian,2014,Percent,0.32483,103
Battery Park/Tribeca,Asian,2014,Percent,0.15057,101
Greenwich Village,Asian,2014,Percent,0.15057,102
Tottenville,Asian,2014,Percent,0.0437,503
South Beach,Asian,2014,Percent,0.12877,502
St. George,Asian,2014,Percent,0.0742,501
Williamsburg/Greenpoint,Asian,2014,Percent,0.0602,301
Bushwick,Asian,2014,Percent,0.04347,304
Bedford Stuyvesant,Asian,2014,Percent,0.02502,303
Fort Greene/Brooklyn Hts,Asian,2014,Percent,0.08162,302
Park Slope,Asian,2014,Percent,0.06281,306
Crown Heights North,Asian,2014,Percent,0.03532,308
Brownsville,Asian,2014,Percent,0.0109,316
East New York,Asian,2014,Percent,0.03467,305
Canarsie,Asian,2014,Percent,0.04098,318
East Flatbush,Asian,2014,Percent,0.01289,317
Crown Heights South,Asian,2014,Percent,0.01835,309
Sunset Park,Asian,2014,Percent,0.31571,307
Bay Ridge,Asian,2014,Percent,0.23317,310
Borough Park,Asian,2014,Percent,0.1415,312
Flatbush/Midwood,Asian,2014,Percent,0.10047,314
Sheepshead Bay,Asian,2014,Percent,0.16067,315
Bensonhurst,Asian,2014,Percent,0.37469,311
Coney Island,Asian,2014,Percent,0.14211,313
Astoria,Asian,2014,Percent,0.13814,401
Jackson Heights,Asian,2014,Percent,0.16908,403
Flushing,Asian,2014,Percent,0.50286,407
Bayside,Asian,2014,Percent,0.41391,411
Queens Village,Asian,2014,Percent,0.14959,413
Fresh Meadows/Briarwood,Asian,2014,Percent,0.33175,408
Elmhurst/Corona,Asian,2014,Percent,0.33141,404
Rego Park/Forest Hills,Asian,2014,Percent,0.264,406
Sunnyside/Woodside,Asian,2014,Percent,0.35187,402
Ridgewood/Glendale,Asian,2014,Percent,0.07815,405
Woodhaven,Asian,2014,Percent,0.25916,409
Jamaica/St. Albans,Asian,2014,Percent,0.1071,412
Howard Beach,Asian,2014,Percent,0.19391,410
The Rockaways,Asian,2014,Percent,0.03116,414
Bronx,Asian,2014,Percent,0.03545,36005
Brooklyn,Asian,2014,Percent,0.111,36047
Manhattan,Asian,2014,Percent,0.11393,36061
Queens,Asian,2014,Percent,0.23869,36081
Staten Island,Asian,2014,Percent,0.0787,36085
New York City,Asian,2014,Percent,0.13182,3651000
Riverdale,Asian,2015,Number,5743,208
Williamsbridge,Asian,2015,Number,3271,212
Throgs Neck,Asian,2015,Number,3747,210
Pelham Parkway,Asian,2015,Number,10552,211
Morrisania,Asian,2015,Number,627.21514,203
East Tremont,Asian,2015,Number,654.78486,206
Bedford Park,Asian,2015,Number,8492,207
University Heights,Asian,2015,Number,2107,205
Concourse/Highbridge,Asian,2015,Number,2266,204
Unionport/Soundview,Asian,2015,Number,12845,209
Mott Haven,Asian,2015,Number,884.14276,201
Hunts Point,Asian,2015,Number,504.85724,202
Washington Heights,Asian,2015,Number,5842,112
Manhattanville,Asian,2015,Number,11017,109
Central Harlem,Asian,2015,Number,4215,110
East Harlem,Asian,2015,Number,9182,111
Upper East Side,Asian,2015,Number,19572,108
Upper West Side,Asian,2015,Number,16658,107
Chelsea/Clinton,Asian,2015,Number,15490.94863,104
Midtown Business District,Asian,2015,Number,7753.05137,105
Murray Hill/Stuyvesant,Asian,2015,Number,22877,106
Lower East Side,Asian,2015,Number,52423,103
Battery Park/Tribeca,Asian,2015,Number,9736.6755,101
Greenwich Village,Asian,2015,Number,14373.3245,102
Tottenville,Asian,2015,Number,7678,503
South Beach,Asian,2015,Number,16928,502
St. George,Asian,2015,Number,13069,501
Williamsburg/Greenpoint,Asian,2015,Number,10218,301
Bushwick,Asian,2015,Number,6469,304
Bedford Stuyvesant,Asian,2015,Number,3197,303
Fort Greene/Brooklyn Hts,Asian,2015,Number,11626,302
Park Slope,Asian,2015,Number,7591,306
Crown Heights North,Asian,2015,Number,4542,308
Brownsville,Asian,2015,Number,1656,316
East New York,Asian,2015,Number,6142,305
Canarsie,Asian,2015,Number,9288,318
East Flatbush,Asian,2015,Number,1727,317
Crown Heights South,Asian,2015,Number,2145,309
Sunset Park,Asian,2015,Number,48311,307
Bay Ridge,Asian,2015,Number,30960,310
Borough Park,Asian,2015,Number,22122,312
Flatbush/Midwood,Asian,2015,Number,16894,314
Sheepshead Bay,Asian,2015,Number,24785,315
Bensonhurst,Asian,2015,Number,73372,311
Coney Island,Asian,2015,Number,15158,313
Astoria,Asian,2015,Number,25614,401
Jackson Heights,Asian,2015,Number,29803,403
Flushing,Asian,2015,Number,128301,407
Bayside,Asian,2015,Number,50601,411
Queens Village,Asian,2015,Number,30115,413
Fresh Meadows/Briarwood,Asian,2015,Number,54130,408
Elmhurst/Corona,Asian,2015,Number,48037,404
Rego Park/Forest Hills,Asian,2015,Number,30741,406
Sunnyside/Woodside,Asian,2015,Number,49088,402
Ridgewood/Glendale,Asian,2015,Number,13183,405
Woodhaven,Asian,2015,Number,39790,409
Jamaica/St. Albans,Asian,2015,Number,27143,412
Howard Beach,Asian,2015,Number,27566,410
The Rockaways,Asian,2015,Number,4371,414
Bronx,Asian,2015,Number,51694,36005
Brooklyn,Asian,2015,Number,296203,36047
Manhattan,Asian,2015,Number,189140,36061
Queens,Asian,2015,Number,558483,36081
Staten Island,Asian,2015,Number,37675,36085
New York City,Asian,2015,Number,1133195,3651000
Riverdale,Asian,2015,Percent,0.05248,208
Williamsbridge,Asian,2015,Percent,0.02285,212
Throgs Neck,Asian,2015,Percent,0.03021,210
Pelham Parkway,Asian,2015,Percent,0.08065,211
Morrisania,Asian,2015,Percent,0.00753,203
East Tremont,Asian,2015,Percent,0.00753,206
Bedford Park,Asian,2015,Percent,0.06603,207
University Heights,Asian,2015,Percent,0.01554,205
Concourse/Highbridge,Asian,2015,Percent,0.01603,204
Unionport/Soundview,Asian,2015,Percent,0.06899,209
Mott Haven,Asian,2015,Percent,0.00875,201
Hunts Point,Asian,2015,Percent,0.00875,202
Washington Heights,Asian,2015,Percent,0.02698,112
Manhattanville,Asian,2015,Percent,0.084,109
Central Harlem,Asian,2015,Percent,0.03196,110
East Harlem,Asian,2015,Percent,0.07547,111
Upper East Side,Asian,2015,Percent,0.08868,108
Upper West Side,Asian,2015,Percent,0.08567,107
Chelsea/Clinton,Asian,2015,Percent,0.15558,104
Midtown Business District,Asian,2015,Percent,0.15558,105
Murray Hill/Stuyvesant,Asian,2015,Percent,0.15619,106
Lower East Side,Asian,2015,Percent,0.31971,103
Battery Park/Tribeca,Asian,2015,Percent,0.15731,101
Greenwich Village,Asian,2015,Percent,0.15731,102
Tottenville,Asian,2015,Percent,0.04609,503
South Beach,Asian,2015,Percent,0.12679,502
St. George,Asian,2015,Percent,0.07581,501
Williamsburg/Greenpoint,Asian,2015,Percent,0.06654,301
Bushwick,Asian,2015,Percent,0.04731,304
Bedford Stuyvesant,Asian,2015,Percent,0.02285,303
Fort Greene/Brooklyn Hts,Asian,2015,Percent,0.08815,302
Park Slope,Asian,2015,Percent,0.06549,306
Crown Heights North,Asian,2015,Percent,0.03622,308
Brownsville,Asian,2015,Percent,0.01317,316
East New York,Asian,2015,Percent,0.03985,305
Canarsie,Asian,2015,Percent,0.04462,318
East Flatbush,Asian,2015,Percent,0.01265,317
Crown Heights South,Asian,2015,Percent,0.01921,309
Sunset Park,Asian,2015,Percent,0.31656,307
Bay Ridge,Asian,2015,Percent,0.23867,310
Borough Park,Asian,2015,Percent,0.13377,312
Flatbush/Midwood,Asian,2015,Percent,0.1048,314
Sheepshead Bay,Asian,2015,Percent,0.16576,315
Bensonhurst,Asian,2015,Percent,0.38742,311
Coney Island,Asian,2015,Percent,0.14059,313
Astoria,Asian,2015,Percent,0.14735,401
Jackson Heights,Asian,2015,Percent,0.16229,403
Flushing,Asian,2015,Percent,0.513,407
Bayside,Asian,2015,Percent,0.41808,411
Queens Village,Asian,2015,Percent,0.15077,413
Fresh Meadows/Briarwood,Asian,2015,Percent,0.33826,408
Elmhurst/Corona,Asian,2015,Percent,0.33491,404
Rego Park/Forest Hills,Asian,2015,Percent,0.26851,406
Sunnyside/Woodside,Asian,2015,Percent,0.35418,402
Ridgewood/Glendale,Asian,2015,Percent,0.07718,405
Woodhaven,Asian,2015,Percent,0.25979,409
Jamaica/St. Albans,Asian,2015,Percent,0.11465,412
Howard Beach,Asian,2015,Percent,0.20177,410
The Rockaways,Asian,2015,Percent,0.03676,414
Bronx,Asian,2015,Percent,0.03619,36005
Brooklyn,Asian,2015,Percent,0.11413,36047
Manhattan,Asian,2015,Percent,0.11607,36061
Queens,Asian,2015,Percent,0.2427,36081
Staten Island,Asian,2015,Percent,0.07974,36085
New York City,Asian,2015,Percent,0.13448,3651000
Riverdale,Asian,2016,Number,5776,208
Williamsbridge,Asian,2016,Number,3954,212
Throgs Neck,Asian,2016,Number,3626,210
Pelham Parkway,Asian,2016,Number,9794,211
Morrisania,Asian,2016,Number,683.96783,203
East Tremont,Asian,2016,Number,714.03217,206
Bedford Park,Asian,2016,Number,8050,207
University Heights,Asian,2016,Number,2031,205
Concourse/Highbridge,Asian,2016,Number,2416,204
Unionport/Soundview,Asian,2016,Number,13370,209
Mott Haven,Asian,2016,Number,931.88265,201
Hunts Point,Asian,2016,Number,532.11735,202
Washington Heights,Asian,2016,Number,5992,112
Manhattanville,Asian,2016,Number,10873,109
Central Harlem,Asian,2016,Number,4447,110
East Harlem,Asian,2016,Number,9360,111
Upper East Side,Asian,2016,Number,20872,108
Upper West Side,Asian,2016,Number,17743,107
Chelsea/Clinton,Asian,2016,Number,16119.41037,104
Midtown Business District,Asian,2016,Number,8067.58963,105
Murray Hill/Stuyvesant,Asian,2016,Number,23177,106
Lower East Side,Asian,2016,Number,49970,103
Battery Park/Tribeca,Asian,2016,Number,9987.46253,101
Greenwich Village,Asian,2016,Number,14743.53747,102
Tottenville,Asian,2016,Number,7733,503
South Beach,Asian,2016,Number,17079,502
St. George,Asian,2016,Number,12964,501
Williamsburg/Greenpoint,Asian,2016,Number,11508,301
Bushwick,Asian,2016,Number,6555,304
Bedford Stuyvesant,Asian,2016,Number,4553,303
Fort Greene/Brooklyn Hts,Asian,2016,Number,12476,302
Park Slope,Asian,2016,Number,7438,306
Crown Heights North,Asian,2016,Number,4757,308
Brownsville,Asian,2016,Number,1803,316
East New York,Asian,2016,Number,7032,305
Canarsie,Asian,2016,Number,9108,318
East Flatbush,Asian,2016,Number,1954,317
Crown Heights South,Asian,2016,Number,2130,309
Sunset Park,Asian,2016,Number,48996,307
Bay Ridge,Asian,2016,Number,30012,310
Borough Park,Asian,2016,Number,23112,312
Flatbush/Midwood,Asian,2016,Number,17086,314
Sheepshead Bay,Asian,2016,Number,24327,315
Bensonhurst,Asian,2016,Number,73994,311
Coney Island,Asian,2016,Number,15924,313
Astoria,Asian,2016,Number,27537,401
Jackson Heights,Asian,2016,Number,30673,403
Flushing,Asian,2016,Number,130525,407
Bayside,Asian,2016,Number,51275,411
Queens Village,Asian,2016,Number,30277,413
Fresh Meadows/Briarwood,Asian,2016,Number,55100,408
Elmhurst/Corona,Asian,2016,Number,47181,404
Rego Park/Forest Hills,Asian,2016,Number,31200,406
Sunnyside/Woodside,Asian,2016,Number,48948,402
Ridgewood/Glendale,Asian,2016,Number,14602,405
Woodhaven,Asian,2016,Number,40816,409
Jamaica/St. Albans,Asian,2016,Number,27936,412
Howard Beach,Asian,2016,Number,28913,410
The Rockaways,Asian,2016,Number,4760,414
Bronx,Asian,2016,Number,51879,36005
Brooklyn,Asian,2016,Number,302765,36047
Manhattan,Asian,2016,Number,191352,36061
Queens,Asian,2016,Number,569743,36081
Staten Island,Asian,2016,Number,37776,36085
New York City,Asian,2016,Number,1153515,3651000
Riverdale,Asian,2016,Percent,0.0526,208
Williamsbridge,Asian,2016,Percent,0.02739,212
Throgs Neck,Asian,2016,Percent,0.02962,210
Pelham Parkway,Asian,2016,Percent,0.07563,211
Morrisania,Asian,2016,Percent,0.00814,203
East Tremont,Asian,2016,Percent,0.00814,206
Bedford Park,Asian,2016,Percent,0.06194,207
University Heights,Asian,2016,Percent,0.01483,205
Concourse/Highbridge,Asian,2016,Percent,0.01713,204
Unionport/Soundview,Asian,2016,Percent,0.07053,209
Mott Haven,Asian,2016,Percent,0.00908,201
Hunts Point,Asian,2016,Percent,0.00908,202
